Fund,Amc,Product,Aum,Returns 1 Yr,Returns 3 Yr,Returns 5 Yr,Returns 3 Months,Asset Class,Classification Name,Sharpe Ratio 1 Yr,Sharpe Ratio 3 Yr,Sortino 1 Yr,Sortino 3 Yr,Max Drawdown Perc 1yr,Max Drawdown Duration Days 1yr,Max Drawdown Duration Days 3yr,Max Drawdown Perc 3yr,Max Drawdown Time To Recovery Days 1yr,Max Drawdown Time To Recovery Days 3yr,Expense Ratio,Fund Manager,Inception Date,Pb Ratio,Pe Ratio,Returns Since Inception,Std 1 Yr,Std 3 Yr,Treynor Ratio 1 Yr,Treynor Ratio 3 Yr,Alpha 1 Yr,Alpha 3 Yr,Benchmark Name,Beta 1 Yr,Beta 3 Yr,Scheme Rolling Min 1 Yr,Scheme Rolling Negative 1 Yr,Scheme Rolling Negative 3 Yr,Scheme Rolling Negative 5 Yr,Scheme Rolling Neutral 1 Yr,Scheme Rolling Neutral 3 Yr,Scheme Rolling Neutral 5 Yr,Scheme Rolling Positive 1 Yr,Scheme Rolling Positive 3 Yr,Scheme Rolling Positive 5 Yr
Motilal Oswal - NTDOP,Motilal Oswal Asset Management,PMS,5021.3,-3.75,13.29,16.08,0.13,Equity,Equity: Multi Cap,-0.31,0.5,-0.45,0.63,-25.69,80,159,-26.99,,,,Vaibhav Agrawal,3-Aug-07,5.02,55.98,14.59,22.49,16.87,-5.05,7.88,-7.77,-2.6,S&P BSE 500 Total Return Index,1.4,1.07,-58.88,23.49,3.36,0,2.75,0.66,0,73.76,95.98,100
360 One - Multicap PMS,360 ONE Asset Management,PMS,3634,-1.5,13.54,18,0.4,Equity,Equity: Multi Cap,-0.49,-0.1,-1.04,-0.09,-14.68,83,161,-18.31,,,,"Anup Maheshwari, Nishant vass",7-Nov-13,4.17,28.44,20.72,13.05,21.86,-7.23,-2.25,-6.82,-12.3,S&P BSE 500 Total Return Index,0.88,0.98,-23.64,18.07,2.8,0.12,6.03,0.24,0.08,75.9,96.95,99.8
Invesco - Caterpillar,Invesco Asset Management (I) Pvt Ltd,PMS,84.71,-3.89,20,27.94,3.77,Equity,Equity: Mid & Small Cap,-0.31,0.85,-0.36,0.9,-25.73,112,112,-25.73,,,,Neelesh Dhamnaskar,26-Jun-06,5.54,43.48,12.32,22.74,16.58,-4.92,13.33,-7.87,3.19,S&P BSE 500 Total Return Index,1.45,1.06,-76.58,32.28,21.18,14.15,3.61,1.81,1.41,64.11,77.01,84.44
Core Value Strategy-Regular Option,BugleRock Capital Pvt Ltd,PMS,1206.94,2.29,17.58,21.62,2.3,Equity,Equity: Multi Cap,-0.16,0.94,-0.25,1.52,-14.59,82,155,-17.06,98,,,E A Sundaram,14-May-19,5.45,30.84,17.05,14.81,12.15,-2.45,13.71,-2.84,2.83,S&P BSE 500 Total Return Index,0.96,0.83,-16.54,9.76,0,0,3.1,0,0,87.14,100,100
TATA - ACT,Tata Asset Management Pvt Ltd,PMS,104.61,-6.79,12.28,17.52,-4.25,Equity,Equity: Multi Cap,-0.74,0.52,-1.1,0.86,-17.7,114,135,-18.72,,,,"Pranav Mise, Krutika Vispute",12-Feb-19,3.54,25.48,13.25,15.55,13.12,-11.45,8.02,-12.03,-1.96,S&P BSE 500 Total Return Index,1,0.86,-27.99,13.79,0,0,5.46,0,0,80.76,100,100
ACE PRO - Galaxy,Acepro Advisors Pvt Ltd,PMS,0.38,-9.34,5.08,8.72,-1.23,Equity,Equity: Flexi Cap,-1.61,-0.03,-1.73,-0.04,-13.06,117,176,-16.09,,,,Rajesh Kumar Rawat,12-Jul-18,,,3.8,9.31,8.94,-28.77,-0.53,-16.23,-3.71,NIFTY 50 Total Return Index,0.52,0.43,-23.32,35.11,0,0,5.95,0,0,58.94,100,100
Bonanza - Value,Bonanza Portfolio Ltd,PMS,32.41,-11.14,18.5,21.66,0.61,Equity,Equity: Multi Cap,-0.76,0.77,-0.83,1.25,-28.23,111,266,-30.57,,,,Achin Goel,2-Sep-11,3.35,25.69,18.82,20.37,19.89,-12.39,15.56,-18.34,7.28,NIFTY 50 Total Return Index,1.24,0.98,-31.81,31.31,17.38,0,1.91,1.08,0,66.78,81.54,100
Green Portfolio - MNC Advantage,Green Portfolio Pvt Ltd,PMS,12.48,-0.12,20.23,28.59,-4.77,Equity,Thematic,-0.16,0.81,-0.22,1.25,-23.4,76,188,-25.45,128,134,,Divam Sharma,23-Sep-19,6.66,61.27,23.68,22.18,19.23,-3.18,15.77,-4.01,5.39,S&P BSE 500 Total Return Index,1.08,0.99,-8.39,3.43,0,0,4.18,0,0,92.39,100,100
ICICI Prudential - Contra Portfolio,ICICI Prudential AMC Ltd,PMS,12695.69,7.19,22.79,27.68,5.06,Equity,Equity: Multi Cap,0.16,1.14,0.27,1.98,-15.13,75,155,-18.56,118,241,,"Anand Shah, Chockalingam Narayanan",14-Sep-18,3.51,25.66,19.99,13.58,14.03,2.35,16.36,1.67,5.92,S&P BSE 500 Total Return Index,0.91,0.98,-31.59,7.95,0,0,3.75,0,0,88.3,100,100
Right Horizon - Flexi Cap,Right Horizons Pvt Ltd,PMS,372.03,-7.9,11.85,20.04,1.65,Equity,Equity: Multi Cap,-0.53,0.43,-0.71,0.62,-24.13,82,139,-27.22,,,,Anil Rego,29-Nov-12,6.4,42.1,11.45,21.87,17.04,-8.2,6.32,-12.22,-4.67,S&P BSE 500 Total Return Index,1.4,1.17,-27.13,22.94,3.81,0.28,3.42,0.41,0.1,73.64,95.78,99.62
Right Horizon - Super Value Fund,Right Horizons Pvt Ltd,PMS,174.98,-4.34,19.47,27.8,4.45,Equity,Equity: Mid Cap,-0.3,0.72,-0.41,1.08,-26.3,76,138,-26.64,,,,"Anil Rego, Prabhat Ranjan, Vijay Chauhan",30-Nov-12,6.36,49.18,16.09,24.08,19.21,-5.35,12.36,-7.98,2.31,S&P BSE 500 Total Return Index,1.36,1.13,-33.43,19.34,5.57,1,4.07,0.77,0.03,76.6,93.65,98.96
Invesco - Rise,Invesco Asset Management (I) Pvt Ltd,PMS,351.93,8.83,20.72,20.04,5.61,Equity,Thematic,0.24,0.99,0.36,1.57,-17.54,83,160,-21.92,98,231,,Neelesh Dhamnaskar,18-Apr-16,4.3,31.46,14.54,17.47,14.47,3.61,14.3,3.67,4.01,S&P BSE 500 Total Return Index,1.19,1,-34.37,25.71,8.83,0,3.82,1.84,0,70.47,89.33,100
Kotak - Fintech Fund,Kotak Mahindra Asset Management company Ltd,PMS,20.85,-3.6,10.91,15.48,7.32,Equity,Sectoral,-0.4,0.37,-0.69,0.65,-20.73,113,203,-22.65,,,,Kotak PMS,29-Mar-18,2.35,25.77,12.14,19.27,15.95,-6.52,5.45,-10.43,-2.92,NIFTY 50 Total Return Index,1.18,1.09,-34.91,26.94,0,0,4.98,0,0,68.08,100,100
Kotak - Pharma & Healthcare,Kotak Mahindra Asset Management company Ltd,PMS,23.56,4.03,20.04,17.46,3.89,Equity,Sectoral,-0.03,0.88,-0.04,1.42,-16.3,57,169,-16.95,220,220,,Kotak PMS,20-Sep-16,6.99,83.93,13.65,16.04,15.9,-0.57,15.33,-2.66,6.58,NIFTY 50 Total Return Index,0.91,0.91,-19.19,26.15,2.78,0,4.79,0.49,0,69.06,96.73,100
Kotak - Small & Midcap Fund,Kotak Mahindra Asset Management company Ltd,PMS,46.77,-5.66,13.49,21.14,0.66,Equity,Equity: Mid & Small Cap,-0.52,0.51,-0.65,0.84,-23.25,118,250,-26.7,,,,Kotak PMS,30-Apr-12,,,16.13,18.83,16.62,-7.73,8.39,-12.66,0.27,NIFTY 50 Total Return Index,1.26,1.01,-42.56,31.3,10.81,2.35,2.61,0.5,0.1,66.09,88.69,97.55
TATA - Emerging Opportunities,Tata Asset Management Pvt Ltd,PMS,18.47,-6.08,15.84,20.13,-0.59,Equity,Equity: Mid & Small Cap,-0.66,0.73,-0.88,1.23,-19.07,117,135,-19.89,,,,"Pranav Mise, Krutika Vispute",1-Apr-06,4.19,30.55,11.82,16.11,14.45,-10.36,12.58,-11.2,1.91,S&P BSE 500 Total Return Index,1.03,0.84,-47.44,21.21,2.79,0.69,3.62,1.27,0,75.17,95.94,99.31
Turtle Wealth -Wealth Mantra,Turtle Wealth Management Pvt Ltd,PMS,198.08,-5.37,19.83,19.94,8.9,Equity,Equity: Flexi Cap,-0.64,0.95,-1.03,1.64,-19.96,190,190,-19.96,,,,Rohan Mehta,30-Sep-19,4.96,30.88,16.31,15.53,14.4,-10.47,14.79,-3.74,3.45,S&P BSE 500 Total Return Index,0.95,0.93,-14.47,19.02,0,0,4.87,0,0,76.12,100,100
Abans Investment - Smart Beta Portfolio,Abans Investment Managers,PMS,2.76,-13.87,11.1,15.55,5.73,Equity,Equity: Mid Cap,-0.74,0.39,-0.74,0.49,-33.79,112,266,-34.65,,,,"Abhishek Bansal, Bhavik Thakkar, Mayank Mundhra",29-Apr-19,3.64,29.5,13.95,23.47,20.2,-14.03,6.7,-18.11,-4.2,S&P BSE 500 Total Return Index,1.25,1.16,-26.84,22.21,0,0,2.19,0,0,75.61,100,100
ICICI Prudential PMS Growth Leaders Strategy,ICICI Prudential AMC Ltd,PMS,1713.94,4.17,19.48,22.73,4.06,Equity,Equity: Multi Cap,-0.03,0.96,-0.04,1.63,-17.49,74,152,-20.8,200,,,"Geetika Gupta, Chockalingam Narayanan",22-Dec-00,4.14,29.33,12.55,15.61,13.73,-0.39,13.12,-0.95,2.82,S&P BSE 500 Total Return Index,1.05,1.01,-61.71,21.73,8.31,5.92,4.3,1.65,0.85,73.98,90.04,93.23
ICICI Prudential - Large Cap Portfolio,ICICI Prudential AMC Ltd,PMS,885.68,5.04,21.82,24.95,3.97,Equity,Equity: Large Cap,0.02,1.08,0.05,2.23,-14.77,114,152,-20.17,98,,,"Geetika Gupta, Chockalingam Narayanan",17-Mar-09,3.82,28.12,16.49,15.05,14.01,0.27,13.99,-2.43,6.38,NIFTY 50 Total Return Index,1.17,1.09,-33.19,15.12,1.37,0.49,4.99,0.18,0.07,79.89,98.45,99.44
Marathon Trends - Mega Trends,Marathon Trends,PMS,193.45,24.91,19.23,14.04,8.71,Equity,Equity: Multi Cap,1.4,0.78,1.54,1.52,,,,,,,,Atul Suri,1-Sep-17,5.8,33.23,9.87,11.47,15.3,22.1,13.36,8.96,-2.31,S&P BSE 500 Total Return Index,0.73,0.89,-19.18,37.98,0,0,5.01,0,0,57,100,100
ORO - All Weather Portfolio,Cosmea Portfolio Mgnt Pvt Ltd (erstwhile TORUS),PMS,20.28,-0.95,22.17,20.83,-3.66,Equity,Equity: Large & Mid Cap,-0.31,1.05,-0.53,2.02,-13.29,74,152,-19.46,87,,,Ankit Doshi,1-Jan-20,3.98,27.24,16.04,15.47,16,-5.31,16.16,-5.19,6.09,S&P BSE 500 Total Return Index,0.89,1.04,-15.61,20.05,0,0,1.76,0,0,78.2,100,100
